178 3
0.648461 0.039790 0.984387 
0.135054 0.729990 0.943608 
0.581881 0.083628 0.982056 
0.512597 0.101474 0.971986 
0.544527 0.100188 1.000000 
0.553205 0.100188 0.972759 
0.523133 0.105250 0.967355 
0.387201 0.280655 0.965815 
0.163296 0.639223 0.955828 
0.277820 0.361752 0.953531 
0.358596 0.293897 0.975079 
0.613573 0.079808 0.959663 
0.103754 0.822368 0.974305 
0.276279 0.361752 0.955828 
0.327727 0.326365 0.949708 
0.230625 0.463546 0.949708 
0.577422 0.092028 0.970441 
0.247809 0.440941 0.941326 
0.220886 0.471300 0.944370 
0.508413 0.118382 0.968126 
0.599888 0.070271 0.966585 
0.615869 0.064285 0.975853 
0.493902 0.111246 0.970441 
0.997074 0.000047 0.968898 
0.973819 0.000237 0.954296 
0.590850 0.097009 0.950472 
0.813430 0.056620 0.981280 
0.588601 0.096379 0.961199 
0.655555 0.066982 0.946656 
0.459537 0.185887 0.967355 
0.595360 0.097009 0.948181 
0.588601 0.097009 0.956594 
0.837372 0.006302 0.985165 
0.922500 0.018741 0.956594 
0.588601 0.080841 0.967355 
0.566350 0.104332 0.955828 
0.356844 0.294556 0.957361 
0.639063 0.076524 0.929955 
1.000000 0.000002 0.960431 
0.299848 0.293897 0.978952 
0.473537 0.182930 0.956594 
0.477576 0.189749 0.955062 
0.575199 0.103028 0.960431 
0.439901 0.259815 0.908914 
0.441845 0.208541 0.885162 
0.439901 0.210209 0.948181 
0.533777 0.128919 0.950472 
0.602158 0.088259 0.954296 
0.437961 0.203760 0.958895 
0.880795 0.008453 0.980503 
0.436025 0.210209 0.963505 
0.296650 0.293897 0.980503 
0.432167 0.211511 0.964275 
0.349882 0.288651 0.996085 
0.109490 0.639223 0.970441 
0.441845 0.210209 0.812259 
0.636725 0.083980 0.958128 
0.498027 0.151497 0.960431 
0.411251 0.236419 0.958895 
0.436025 0.220356 0.952001 
0.461524 0.183450 0.956594 
0.457554 0.189925 0.950472 
0.473537 0.171005 0.971986 
0.555385 0.125595 0.914901 
0.551029 0.125309 0.965815 
0.485705 0.181030 0.968898 
0.518906 0.146805 0.955062 
0.650821 0.070701 0.963505 
0.602158 0.090073 0.945131 
0.555385 0.111246 0.954296 
0.451631 0.186761 0.955828 
0.599888 0.090073 0.959663 
0.495962 0.159968 0.953531 
0.516799 0.146805 0.956594 
0.542369 0.125595 0.958128 
0.376345 0.258372 0.971213 
0.239140 0.463546 0.935253 
0.553205 0.112329 0.960431 
0.970932 0.005953 0.966585 
0.597622 0.094876 0.897741 
0.593103 0.100959 0.891071 
0.489795 0.159968 0.961967 
0.561951 0.111246 0.948945 
0.344705 0.294556 0.958895 
0.579649 0.100959 0.965044 
0.581881 0.100959 0.955062 
0.206007 0.557499 0.962736 
0.911284 0.006206 0.958895 
0.900137 0.000201 0.978952 
0.493902 0.151497 0.961967 
0.553205 0.125595 0.957361 
0.557569 0.103028 0.962736 
0.540214 0.101474 0.969669 
0.639063 0.071241 0.955828 
0.897361 0.000276 0.982056 
0.443794 0.197231 0.951236 
0.529507 0.127613 0.955828 
0.437961 0.208171 0.956594 
0.445747 0.189925 0.967355 
0.441845 0.199034 0.945131 
0.418797 0.231716 0.968898 
0.557569 0.111111 0.952766 
0.525254 0.146185 0.965815 
0.502168 0.121044 0.968898 
0.443794 0.182411 0.969669 
0.606711 0.082694 0.961967 
0.595360 0.076412 0.963505 
0.436025 0.212443 0.956594 
0.956558 0.008906 0.885162 
0.495962 0.142951 0.968126 
0.473537 0.189925 0.917902 
0.441845 0.196512 0.960431 
0.334467 0.294556 0.961967 
0.424501 0.231716 0.967355 
0.593103 0.094502 0.952001 
0.982508 0.000792 0.929955 
0.527378 0.131256 0.958895 
0.379947 0.261884 0.966585 
0.367417 0.307443 0.898484 
0.681894 0.058369 0.904437 
0.439901 0.211697 0.941326 
0.599888 0.083277 0.961199 
0.493902 0.153078 0.958128 
0.636725 0.066982 0.966585 
0.850824 0.009488 0.966585 
0.358596 0.233278 0.981280 
0.106603 0.639223 0.971213 
0.351616 0.248584 0.977402 
0.387201 0.231132 0.970441 
0.840054 0.014276 0.971213 
0.261102 0.329845 0.971213 
0.128674 0.579794 0.977402 
0.372761 0.248584 0.975079 
0.307919 0.310821 0.975079 
0.374551 0.221689 0.982056 
0.437961 0.208541 0.951236 
0.256632 0.361752 0.974305 
0.498027 0.159968 0.888114 
0.428325 0.199034 0.967355 
0.186553 0.457774 0.977402 
0.014065 1.000000 0.958128 
0.891822 0.005767 0.969669 
0.994152 0.000250 0.906674 
0.908491 0.001896 0.969669 
0.483666 0.128628 0.977402 
0.985412 0.000250 0.945893 
0.322717 0.259815 0.999216 
0.840054 0.029630 0.909661 
0.979607 0.000276 0.952001 
0.914082 0.001050 0.978177 
0.049527 1.000000 0.942847 
0.126582 0.729990 0.959663 
0.142691 0.719645 0.961967 
0.108523 0.822368 0.968126 
0.194219 0.579794 0.958128 
0.240574 0.457774 0.961967 
0.394524 0.252233 0.960431 
0.329405 0.307443 0.951236 
0.322717 0.358107 0.961199 
0.312813 0.343237 0.968126 
0.597622 0.074521 0.968898 
0.679478 0.057686 0.951236 
0.211358 0.557499 0.953531 
0.191647 0.579794 0.961199 
0.403774 0.248584 0.962736 
0.504246 0.151497 0.958128 
0.326053 0.326365 0.956594 
0.566350 0.106436 0.948181 
0.579649 0.104202 0.951236 
0.677066 0.062956 0.964275 
0.132910 0.729990 0.949708 
0.608994 0.089466 0.952766 
0.214059 0.471300 0.948181 
0.048233 1.000000 0.949708 
0.048878 1.000000 0.946656 
0.243455 0.440941 0.956594 
0.491847 0.157547 0.958128 
0.561951 0.106436 0.955062 
